ID,CODE_ETAT,ETAT,CODE_CITY,NOM,NOM_FR,LATITUDE,LONGITUDE,POP1950,POP1955,POP1960,POP1965,POP1970,POP1975,POP1980,POP1985,POP1990,POP1995,POP2000,POP2005,POP2010,POP2015,POP2020,POP2025,POP2030,POP2035,ET2018,ETETR2018,NUNIV2018,ARWU2018,NHCR2018,TINT2016,PMUNESCO,EVP2016,TON2016,PASS2017,HUBINT18,STPOL,COOPREG,GVMOND,PIB2014,PIBHAB14,KBOURS18,GF2016,GF2017,GF2018,GaWC2000,GaWC2012,GaWC2016,GaWC2018
"1147","484",Mexico,"21853",Ciudad de México (Mexico City),MEXICO CITY,19.427318000000000,-99.141869000000000,3365.081000000000131,4293.877999999999702,5479.184000000000196,6969.157000000000153,8830.947000000000116,10733.860000000000582,13027.620000000000800,14278.216000000000349,15642.317999999999302,17017.469000000000960,18457.026999999998225,19276.064999999998690,20136.681000000000495,21339.780999999999040,21782.378000000000611,22752.414000000000669,24110.598999999998341,25414.623999999999796,"0","0","0","0","0",3.010000000000000,"3",,,,OUI,Capitale,Accord Canada-Etats-Unis-Mexique,,"403561",19239.000000000000000,385051.400000000023283,"2","2","3",4. ALPHA -,3. ALPHA,3. ALPHA,3. ALPHA
"1747","840",United States of America,"23064",Miami,MIAMI,25.789097000000002,-80.204043999999996,621.798999999999978,923.666000000000054,1360.807000000000016,1708.525000000000091,2141.242999999999938,2590.112000000000080,3122.349000000000160,3521.313999999999851,3969.349000000000160,4430.783999999999651,4932.764000000000124,5217.037000000000262,5517.777000000000044,5835.854000000000269,6122.134000000000015,6371.935999999999694,6664.087000000000444,6952.113000000000284,"0","0","0","0","0",5.860000000000000,"0",,,,OUI,,,,"262697",44480.000000000000000,,"1","1","1",4. ALPHA -,4. ALPHA -,4. ALPHA -,3. ALPHA
"1040","380",Italy,"21571",Milano (Milan),MILAN,45.553069999999998,9.183439999999999,1883.420000000000073,2099.327000000000226,2395.130000000000109,2694.586999999999989,3016.927000000000135,3133.356000000000222,3168.195000000000164,3128.342999999999847,3062.900000000000091,3019.889999999999873,2984.836999999999989,3009.628999999999905,3056.106999999999971,3103.353999999999814,3140.181000000000040,3167.447000000000116,3208.824999999999818,3250.588000000000193,"0","0","0","0","0",8.170000000000000,"1",,,,OUI,Capitale regionale,,,"312108",41147.000000000000000,,"2","2","1",3. ALPHA,3. ALPHA,3. ALPHA,3. ALPHA
"167","124",Canada,"20384",Montréal,MONTREAL,45.508839999999999,-73.587810000000005,1343.462999999999965,1651.836000000000013,2031.107999999999947,2373.144999999999982,2684.215000000000146,2791.494000000000142,2823.606999999999971,2903.965000000000146,3153.675000000000182,3305.461999999999989,3428.971000000000004,3674.000000000000000,3896.931999999999789,4070.121999999999844,4220.565999999999804,4377.305999999999585,4572.739999999999782,4770.788999999999760,"37311","8582","1","0","0",2.410000000000000,"0",1447.566000000000031,,,NON,,,Organisation de l'aviation civile internationale (ONU),"155905",38867.000000000000000,,"3","1","1",6. BETA,5. BETA+,6. BETA,4. ALPHA -
"1427","643",Russian Federation,"22299",Moskva (Moscow),MOSCOU,55.754995999999998,37.621848999999997,5356.391999999999825,5748.746000000000095,6169.961000000000240,6621.779999999999745,7106.457000000000335,7622.703000000000429,8136.140999999999622,8579.920000000000073,8986.630999999999403,9200.994000000000597,10004.522999999999229,10751.427999999999884,11461.263999999999214,12049.135000000000218,12537.953999999999724,12737.355999999999767,12795.711999999999534,12822.747999999999593,"0","0","0","1","0",,"3",,,,OUI,Capitale,,,"553318",45803.000000000000000,576116.300000000046566,"5","4","4",5. BETA+,3. ALPHA,3. ALPHA,3. ALPHA
"882","356",India,"21206",Mumbai (Bombay),MUMBAI,19.073975000000001,72.880837999999997,3088.811000000000149,3726.210000000000036,4414.904000000000451,5314.300000000000182,6412.876000000000204,7685.345999999999549,9199.542999999999665,10685.530000000000655,12355.090000000000146,14135.362999999999374,16146.527000000000044,17257.072000000000116,18257.413000000000466,19315.737000000000990,20411.274000000001251,22088.953000000001339,24572.450000000000728,27342.818999999999505,"0","0","0","0","0",,"3",4500.149000000000342,125199.000000000000000,,OUI,Capitale regionale,,,"150853",7005.000000000000000,2085539.100000000093132,"5","5","4",4. ALPHA -,3. ALPHA,3. ALPHA,3. ALPHA
"745","276",Germany,"204371",München (Munich),MUNICH,48.137076000000000,11.573377000000001,830.976999999999975,936.153999999999996,1060.227000000000089,1175.084000000000060,1293.637999999999920,1296.160000000000082,1298.688000000000102,1267.000999999999976,1217.772999999999911,1240.527000000000044,1202.365999999999985,1254.401000000000067,1352.760999999999967,1439.858999999999924,1538.301999999999907,1590.891000000000076,1610.426999999999907,1625.246000000000095,"75115","15196","2","2","76",,"0",,,,NON,Capitale regionale,,,"219943",56322.000000000000000,,"4","4","4",6. BETA,4. ALPHA -,5. BETA -,4. ALPHA -
"1758","840",United States of America,"23083",New York-Newark,NEW YORK,40.717041999999999,-74.003663000000003,12338.470999999999549,13219.361999999999171,14163.521000000000640,15176.757999999999811,16191.180000000000291,15880.271000000000640,15601.400999999999840,15826.788000000000466,16085.599000000000160,16942.770000000000437,17813.370999999999185,18087.173999999999069,18365.261999999998807,18647.626000000000204,18803.551999999999680,19154.024000000001251,19957.604999999999563,20817.169999999998254,"91333","28438","4","5","65",12.699999999999999,"1",6251.953000000000429,121017.605990399999428,,OUI,,,Organisation des Nations Unies,"1403463",69915.000000000000000,30436313.000000000000000,"23","24","19",1. ALPHA ++,1. ALPHA ++,1. ALPHA ++,1. ALPHA ++
"715","250",France,"20985",Paris,PARIS,48.853409999999997,2.348800000000000,6283.018000000000029,6796.436999999999898,7410.734999999999673,7855.185000000000400,8208.120999999999185,8557.843999999999141,8669.349000000000160,8956.221999999999753,9330.326999999999316,9510.102999999999156,9736.538000000000466,10091.795000000000073,10460.118000000000393,10733.502000000000407,11017.229999999999563,11346.801999999999680,11709.788000000000466,12064.575000000000728,"63403","13497","2","3","0",15.449999999999999,"1",,,"69471442",OUI,Capitale,,Organisation des Nations Unies pour l'education,la science et la culture,715080.000000000000000,57241.000000000000000,"27","27","26",2. ALPHA +,2. ALPHA +,2. ALPHA +,2. ALPHA +
"650","203",Czechia,"20887",Praha (Prague),PRAGUE,50.088039999999999,14.420760000000000,934.788999999999987,967.241999999999962,1000.830000000000041,1037.678000000000111,1076.230000000000018,1125.782999999999902,1178.553000000000111,1196.512999999999920,1212.069999999999936,1194.444999999999936,1172.048999999999978,1198.590999999999894,1233.529999999999973,1269.488000000000056,1305.737000000000080,1331.934999999999945,1344.865000000000009,1352.374000000000024,"0","0","0","0","0",6.110000000000000,"1",,,,OUI,Capitale,,,"89181",46947.000000000000000,,"0","0","0",4. ALPHA -,4. ALPHA -,5. BETA -,4. ALPHA -
"1470","682",Saudi Arabia,"22432",Ar-Riyadh (Riyadh),RIYADH,24.690466000000001,46.709566000000002,111.123000000000005,131.467999999999989,155.544000000000011,226.770000000000010,407.540000000000020,710.374000000000024,1054.859999999999900,1566.058999999999969,2325.242999999999938,3034.951000000000022,3567.443999999999960,4252.231999999999971,5220.216999999999643,6218.322000000000116,7231.447000000000116,7952.860999999999876,8547.001000000000204,9058.394000000000233,"0","0","0","0","29",4.430000000000000,"1",,,,NON,Capitale,,,"163476",22139.000000000000000,496353.200000000011642,"1","1","1",9. GAMMA,6. BETA,4. ALPHA -,4. ALPHA -
